source_match_id,date,team,opponent,tournament,listed_home,neutral,goals_for,goals_against,y_result_ordered,pre_elo,opponent_pre_elo,elo_diff,pre_match_expected_result
90,1893-03-25,Scotland,Northern Ireland,British Home Championship,TRUE,FALSE,6,1,win,1704.5597,1231.0879,473.47180000000003,0.964469
90,1893-03-25,Northern Ireland,Scotland,British Home Championship,FALSE,FALSE,1,6,loss,1231.0879,1704.5597,-473.47180000000003,0.035531
91,1893-04-01,England,Scotland,British Home Championship,TRUE,FALSE,5,2,win,1753.0465,1706.6916,46.354899999999816,0.698989
91,1893-04-01,Scotland,England,British Home Championship,FALSE,FALSE,2,5,loss,1706.6916,1753.0465,-46.354899999999816,0.301011
92,1894-02-24,Wales,Northern Ireland,British Home Championship,TRUE,FALSE,4,1,win,1316.9014,1228.956,87.94540000000006,0.746854
92,1894-02-24,Northern Ireland,Wales,British Home Championship,FALSE,FALSE,1,4,loss,1228.956,1316.9014,-87.94540000000006,0.253146
93,1894-03-03,Northern Ireland,England,British Home Championship,TRUE,FALSE,2,2,draw,1215.6658,1768.8496,-553.1838,0.068578
93,1894-03-03,England,Northern Ireland,British Home Championship,FALSE,FALSE,2,2,draw,1768.8496,1215.6658,553.1838,0.931422
94,1894-03-12,Wales,England,British Home Championship,TRUE,FALSE,1,5,loss,1330.1916,1755.9069,-425.71529999999984,0.132968
94,1894-03-12,England,Wales,British Home Championship,FALSE,FALSE,5,1,win,1755.9069,1330.1916,425.71529999999984,0.867032
95,1894-03-24,Scotland,Wales,British Home Championship,TRUE,FALSE,5,2,win,1690.8885,1322.7122,368.1763000000001,0.936733
95,1894-03-24,Wales,Scotland,British Home Championship,FALSE,FALSE,2,5,loss,1322.7122,1690.8885,-368.1763000000001,0.063267
96,1894-03-31,Northern Ireland,Scotland,British Home Championship,TRUE,FALSE,1,2,loss,1228.6085,1694.21,-465.6015,0.108653
96,1894-03-31,Scotland,Northern Ireland,British Home Championship,FALSE,FALSE,2,1,win,1694.21,1228.6085,465.6015,0.891347
97,1894-04-07,Scotland,England,British Home Championship,TRUE,FALSE,2,2,draw,1697.4696,1763.3863,-65.91669999999999,0.548893
97,1894-04-07,England,Scotland,British Home Championship,FALSE,FALSE,2,2,draw,1763.3863,1697.4696,65.91669999999999,0.451107
98,1895-03-09,England,Northern Ireland,British Home Championship,TRUE,FALSE,9,0,win,1764.8531,1225.3489,539.5042000000001,0.975428
98,1895-03-09,Northern Ireland,England,British Home Championship,FALSE,FALSE,0,9,loss,1225.3489,1764.8531,-539.5042000000001,0.024572
99,1895-03-16,Northern Ireland,Wales,British Home Championship,TRUE,FALSE,2,2,draw,1223.506,1319.3907,-95.88469999999984,0.505922
99,1895-03-16,Wales,Northern Ireland,British Home Championship,FALSE,FALSE,2,2,draw,1319.3907,1223.506,95.88469999999984,0.494078
100,1895-03-18,England,Wales,British Home Championship,TRUE,FALSE,1,1,draw,1766.696,1319.5684,447.1275999999998,0.95889
100,1895-03-18,Wales,England,British Home Championship,FALSE,FALSE,1,1,draw,1319.5684,1766.696,-447.1275999999998,0.04111
101,1895-03-23,Wales,Scotland,British Home Championship,TRUE,FALSE,2,2,draw,1333.3351,1696.0028,-362.66769999999997,0.180637
