sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
baseball,153508,2024-04-17T23:10:00Z,FT,1,MLB,2024,5,Boston Red Sox,9,Cleveland Guardians,2,0
baseball,153509,2024-04-18T17:10:00Z,FT,1,MLB,2024,12,Detroit Tigers,35,Texas Rangers,7,9
baseball,153510,2024-04-18T17:10:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,17,Los Angeles Angels,2,1
baseball,153511,2024-04-18T17:35:00Z,FT,1,MLB,2024,5,Boston Red Sox,9,Cleveland Guardians,4,5
baseball,153513,2024-04-19T01:45:00Z,FT,1,MLB,2024,31,San Francisco Giants,2,Arizona Diamondbacks,5,0
baseball,153514,2024-04-19T18:20:00Z,FT,1,MLB,2024,6,Chicago Cubs,19,Miami Marlins,8,3
baseball,153516,2024-04-19T22:40:00Z,FT,1,MLB,2024,8,Cincinnati Reds,17,Los Angeles Angels,7,1
baseball,153517,2024-04-19T22:40:00Z,FT,1,MLB,2024,27,Philadelphia Phillies,7,Chicago White Sox,7,0
baseball,153518,2024-04-19T22:40:00Z,FT,1,MLB,2024,28,Pittsburgh Pirates,5,Boston Red Sox,1,8
baseball,153519,2024-04-19T22:45:00Z,FT,1,MLB,2024,37,Washington Nationals,15,Houston Astros,3,5
baseball,153520,2024-04-19T23:05:00Z,FT,1,MLB,2024,25,New York Yankees,34,Tampa Bay Rays,5,3
baseball,153515,2024-04-19T23:10:00Z,FT,1,MLB,2024,9,Cleveland Guardians,26,Oakland Athletics,10,2
baseball,153521,2024-04-19T23:20:00Z,FT,1,MLB,2024,3,Atlanta Braves,35,Texas Rangers,8,3
baseball,153522,2024-04-19T23:40:00Z,FT,1,MLB,2024,16,Kansas City Royals,4,Baltimore Orioles,9,4
baseball,153523,2024-04-20T00:10:00Z,FT,1,MLB,2024,22,Minnesota Twins,12,Detroit Tigers,4,5
baseball,153524,2024-04-20T00:15:00Z,FT,1,MLB,2024,33,St.Louis Cardinals,20,Milwaukee Brewers,1,2
baseball,153526,2024-04-20T01:40:00Z,FT,1,MLB,2024,30,San Diego Padres,36,Toronto Blue Jays,1,5
baseball,153527,2024-04-20T02:10:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,24,New York Mets,4,9
baseball,153528,2024-04-20T02:15:00Z,FT,1,MLB,2024,31,San Francisco Giants,2,Arizona Diamondbacks,1,17
baseball,153529,2024-04-20T17:05:00Z,FT,1,MLB,2024,25,New York Yankees,34,Tampa Bay Rays,0,2
baseball,153530,2024-04-20T18:10:00Z,FT,1,MLB,2024,22,Minnesota Twins,12,Detroit Tigers,4,3
baseball,153531,2024-04-20T18:15:00Z,FT,1,MLB,2024,33,St.Louis Cardinals,20,Milwaukee Brewers,5,12
baseball,153532,2024-04-20T18:20:00Z,FT,1,MLB,2024,6,Chicago Cubs,19,Miami Marlins,2,3
baseball,153534,2024-04-20T20:05:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,24,New York Mets,4,6
baseball,153535,2024-04-20T20:05:00Z,FT,1,MLB,2024,28,Pittsburgh Pirates,5,Boston Red Sox,2,4
baseball,153536,2024-04-20T20:05:00Z,FT,1,MLB,2024,31,San Francisco Giants,2,Arizona Diamondbacks,7,3
baseball,153537,2024-04-20T20:05:00Z,FT,1,MLB,2024,37,Washington Nationals,15,Houston Astros,5,4
baseball,153538,2024-04-20T22:05:00Z,FT,1,MLB,2024,27,Philadelphia Phillies,7,Chicago White Sox,9,5
