sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
basketball,414256,2024-12-22T01:00:00Z,FT,12,NBA,2024-2025,149,Minnesota Timberwolves,141,Golden State Warriors,103,113
basketball,414257,2024-12-22T01:00:00Z,FT,12,NBA,2024-2025,150,New Orleans Pelicans,151,New York Knicks,93,104
basketball,414258,2024-12-22T01:30:00Z,FT,12,NBA,2024-2025,138,Dallas Mavericks,144,Los Angeles Clippers,113,97
basketball,414259,2024-12-22T01:30:00Z,FT,12,NBA,2024-2025,158,San Antonio Spurs,156,Portland Trail Blazers,114,94
basketball,414260,2024-12-22T02:00:00Z,FT,12,NBA,2024-2025,155,Phoenix Suns,140,Detroit Pistons,125,133
basketball,414261,2024-12-22T23:00:00Z,FT,12,NBA,2024-2025,157,Sacramento Kings,143,Indiana Pacers,95,122
basketball,414262,2024-12-22T23:00:00Z,FT,12,NBA,2024-2025,159,Toronto Raptors,142,Houston Rockets,110,114
basketball,414263,2024-12-23T00:00:00Z,AOT,12,NBA,2024-2025,150,New Orleans Pelicans,139,Denver Nuggets,129,132
basketball,414264,2024-12-24T00:00:00Z,FT,12,NBA,2024-2025,135,Charlotte Hornets,142,Houston Rockets,101,114
basketball,414265,2024-12-24T00:00:00Z,FT,12,NBA,2024-2025,137,Cleveland Cavaliers,160,Utah Jazz,124,113
basketball,414266,2024-12-24T00:00:00Z,FT,12,NBA,2024-2025,153,Orlando Magic,133,Boston Celtics,108,104
basketball,414267,2024-12-24T00:00:00Z,FT,12,NBA,2024-2025,154,Philadelphia 76ers,158,San Antonio Spurs,111,106
basketball,414268,2024-12-24T00:30:00Z,FT,12,NBA,2024-2025,151,New York Knicks,159,Toronto Raptors,139,125
basketball,414269,2024-12-24T00:30:00Z,FT,12,NBA,2024-2025,147,Miami Heat,134,Brooklyn Nets,110,95
basketball,414270,2024-12-24T00:30:00Z,FT,12,NBA,2024-2025,132,Atlanta Hawks,149,Minnesota Timberwolves,117,104
basketball,414271,2024-12-24T01:00:00Z,FT,12,NBA,2024-2025,136,Chicago Bulls,148,Milwaukee Bucks,91,112
basketball,414272,2024-12-24T01:00:00Z,FT,12,NBA,2024-2025,146,Memphis Grizzlies,144,Los Angeles Clippers,110,114
basketball,414273,2024-12-24T01:00:00Z,FT,12,NBA,2024-2025,152,Oklahoma City Thunder,161,Washington Wizards,123,105
basketball,414274,2024-12-24T01:30:00Z,FT,12,NBA,2024-2025,138,Dallas Mavericks,156,Portland Trail Blazers,132,108
basketball,414275,2024-12-24T03:00:00Z,FT,12,NBA,2024-2025,139,Denver Nuggets,155,Phoenix Suns,117,90
basketball,414276,2024-12-24T03:00:00Z,FT,12,NBA,2024-2025,141,Golden State Warriors,143,Indiana Pacers,105,111
basketball,414277,2024-12-24T03:30:00Z,FT,12,NBA,2024-2025,145,Los Angeles Lakers,140,Detroit Pistons,114,117
basketball,414278,2024-12-25T17:00:00Z,FT,12,NBA,2024-2025,151,New York Knicks,158,San Antonio Spurs,117,114
basketball,414279,2024-12-25T19:30:00Z,FT,12,NBA,2024-2025,138,Dallas Mavericks,149,Minnesota Timberwolves,99,105
basketball,414280,2024-12-25T22:00:00Z,FT,12,NBA,2024-2025,133,Boston Celtics,154,Philadelphia 76ers,114,118
basketball,414281,2024-12-26T01:00:00Z,FT,12,NBA,2024-2025,141,Golden State Warriors,145,Los Angeles Lakers,113,115
basketball,414282,2024-12-26T03:30:00Z,FT,12,NBA,2024-2025,155,Phoenix Suns,139,Denver Nuggets,110,100
basketball,414283,2024-12-27T00:00:00Z,FT,12,NBA,2024-2025,143,Indiana Pacers,152,Oklahoma City Thunder,114,120
basketball,414284,2024-12-27T00:00:00Z,FT,12,NBA,2024-2025,153,Orlando Magic,147,Miami Heat,88,89
basketball,414285,2024-12-27T00:00:00Z,FT,12,NBA,2024-2025,161,Washington Wizards,135,Charlotte Hornets,113,110
basketball,414286,2024-12-27T00:30:00Z,FT,12,NBA,2024-2025,132,Atlanta Hawks,136,Chicago Bulls,141,133
basketball,414287,2024-12-27T01:00:00Z,FT,12,NBA,2024-2025,150,New Orleans Pelicans,142,Houston Rockets,111,128
basketball,414288,2024-12-27T01:00:00Z,FT,12,NBA,2024-2025,146,Memphis Grizzlies,159,Toronto Raptors,155,126
basketball,414289,2024-12-27T01:00:00Z,FT,12,NBA,2024-2025,148,Milwaukee Bucks,134,Brooklyn Nets,105,111
basketball,414290,2024-12-27T03:00:00Z,FT,12,NBA,2024-2025,156,Portland Trail Blazers,160,Utah Jazz,122,120
basketball,414291,2024-12-27T03:00:00Z,FT,12,NBA,2024-2025,157,Sacramento Kings,140,Detroit Pistons,113,114
basketball,414292,2024-12-28T00:00:00Z,FT,12,NBA,2024-2025,153,Orlando Magic,151,New York Knicks,85,108
basketball,414293,2024-12-28T00:30:00Z,FT,12,NBA,2024-2025,133,Boston Celtics,143,Indiana Pacers,142,105
basketball,414294,2024-12-28T00:30:00Z,FT,12,NBA,2024-2025,134,Brooklyn Nets,158,San Antonio Spurs,87,96
